Response Id,Age,Gender,Marital Status,Frequency,Theaters1,Theaters,Free.Online1,Free.Online,Netflix1,Netflix,Others,Source Preference,Content Likability Rating,Theatre Viewing Reasons,Action,Comedy,Romance,Thriller,Adeventure,Mystery,Horror,Animation,Viewing Behaviour Change,Netflix Future
1,3,Male,Married ,Daily ,YES,1,NO,0,NO,0,0,theaters ,100,Genre preferences,1,1,0,1,0,0,0,1,No,Can't say
2,2,Female,Unmarried,Monthly,NO,0,YES,1,NO,0,0,free online streaming,73,Genre preferences,0,1,0,0,0,0,1,0,Yes,Yes
3,3,Male,Unmarried,Weekly ,NO,0,NO,0,YES,1,0,Paid subscription like Netflix ,81,Cast preferences ,1,1,0,0,1,0,1,0,Yes,No
4,3,Female,Unmarried,Monthly,YES,1,NO,0,NO,0,0,theaters ,70,Cast preferences ,0,1,1,0,0,0,0,0,Can't say,Yes
5,4,Female,Married,Rarely,NO,0,YES,1,NO,0,0,free online streaming,82,Cast preferences ,0,0,1,0,0,0,0,0,Yes,Yes
6,1,Female,Unmarried,Weekly ,YES,1,YES,1,YES,1,0,Paid subscription like Netflix|theaters|free online streaming,6,Genre preferences,1,1,0,1,1,1,1,1,Can't say,Yes
7,4,Female,Married,Monthly,YES,1,YES,1,YES,1,0,Paid subscription like Netflix|theaters|free online streaming,60,Director preferences,1,1,1,1,1,1,1,1,No,Can't say
8,4,Female,Married,Monthly,NO,0,YES,1,YES,1,0,Paid subscription like Netflix|free online streaming,50,Genre preferences,0,0,0,1,1,1,0,1,No,Can't say
9,3,Female,Married,Biweekly,NO,0,NO,0,NO,0,1,others,74,Cast preferences ,0,1,1,0,0,0,0,0,Yes,Can't say
10,4,Female,Married,Monthly,NO,0,YES,1,NO,0,0,free online streaming ,64,Cast preferences ,0,0,0,0,0,0,0,1,No,Yes
11,4,Male,Married,Monthly,NO,0,NO,0,YES,1,0,Paid subscription like Netflix,80,Genre preferences,1,1,0,1,1,1,1,1,Yes,No
12,3,Female,Married,Biweekly,NO,0,NO,0,NO,0,1,others,20,Director preferences,0,1,0,0,0,1,0,0,No,Can't say
13,4,Female,Married,Weekly ,NO,0,NO,0,YES,1,0,Paid subscription like Netflix,49,Cast preferences ,0,0,1,0,0,0,0,0,No,Yes
14,3,Female,Married,Rarely,NO,0,YES,1,YES,1,0,Paid subscription like Netflix|free online streaming,70,Director preferences,0,1,1,1,1,0,0,0,No,Can't say
