color,director_name,duration,gross,movie_title,num_voted_users,num_user_for_reviews,language,country,imdb_score,movie_facebook_likes,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Sport,History,Biography,Horror,Family,Mystery,Romance,Sci.Fi,Thriller,War,Western
Color,James Cameron,178,760505847,Avatar,886204,3054,English,USA,7.9,33000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Color,Gore Verbinski,169,309404152,Pirates of the Caribbean: At World's End†,471220,1238,English,USA,7.1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Color,Sam Mendes,148,200074175,Spectre†,275868,994,English,UK,6.8,85000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color,Christopher Nolan,164,448130642,The Dark Knight Rises†,1144337,2701,English,USA,8.5,164000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color,Andrew Stanton,132,73058679,John Carter†,212204,738,English,USA,6.6,24000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,Sam Raimi,156,336530303,Spider-Man 3†,383056,1902,English,USA,6.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Color,Nathan Greno,100,200807262,Tangled†,294810,387,English,USA,7.8,29000,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Color,Joss Whedon,141,458991599,Avengers: Age of Ultron†,462669,1117,English,USA,7.5,118000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,David Yates,153,301956980,Harry Potter and the Half-Blood Prince†,321795,973,English,UK,7.5,10000,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Color,Zack Snyder,183,330249062,Batman v Superman: Dawn of Justice†,371639,3018,English,USA,6.9,197000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,Bryan Singer,169,200069408,Superman Returns†,240396,2367,English,USA,6.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Color,Marc Forster,106,168368427,Quantum of Solace†,330784,1243,English,UK,6.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,Gore Verbinski,151,423032628,Pirates of the Caribbean: Dead Man's Chest†,522040,1832,English,USA,7.3,5000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Color,Gore Verbinski,150,89289910,The Lone Ranger†,181792,711,English,USA,6.5,48000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Color,Zack Snyder,143,291021565,Man of Steel†,548573,2536,English,USA,7.2,118000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Color,Andrew Adamson,150,141614023,The Chronicles of Narnia: Prince Caspian†,149922,438,English,USA,6.6,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Color,Joss Whedon,173,623279547,The Avengers†,995415,1722,English,USA,8.1,123000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
